Feature,Rank
You are not too interested in discussing various interpretations and analyses of creative works.,1
"At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",2
You enjoy going to art museums.,3
You like to have a to-do list for each day.,4
You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,5
You are prone to worrying that things will take a turn for the worse.,6
You are more inclined to follow your head than your heart.,7
Your happiness comes more from helping others accomplish things than your own accomplishments.,8
You often end up doing things at the last possible moment.,9
"You feel more drawn to places with busy, bustling atmospheres than quiet, intimate places.",10
You often have a hard time understanding other peopleâ€™s feelings.,11
"You have always been fascinated by the question of what, if anything, happens after death.",12
You often make a backup plan for a backup plan.,13
You would pass along a good opportunity if you thought someone else needed it more.,14
Your mood can change very quickly.,15
You often feel overwhelmed.,16
You are definitely not an artistic type of person.,17
You rarely worry about whether you make a good impression on people you meet.,18
You find it easy to empathize with a person whose experiences are very different from yours.,19
"You usually stay calm, even under a lot of pressure",20
You tend to avoid drawing attention to yourself.,21
You struggle with deadlines.,22
You feel comfortable just walking up to someone you find interesting and striking up a conversation.,23
You avoid making phone calls.,24
Seeing other people cry can easily make you feel like you want to cry too,25
"After a long and exhausting week, a lively social event is just what you need.",26
You are interested in so many things that you find it difficult to choose what to try next.,27
You rarely second-guess the choices that you have made.,28
You are still bothered by mistakes that you made a long time ago.,29
You enjoy watching people argue.,30
You like books and movies that make you come up with your own interpretation of the ending.,31
You enjoy participating in group activities.,32
You like to use organizing tools like schedules and lists.,33
"In your social circle, you are often the one who contacts your friends and initiates activities.",34
You feel confident that things will work out for you.,35
